id,name,position,team,kickoff_time,value,was_home,opponent,gameweek,season,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
1,Fábio Ferreira Vieira,MID,Arsenal,12,54,False,Leicester,25,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1128.3333333333333,0.0,0.0,-6.0,0.0,6.0,0.0,2.6666666666666665,1.0,2.3333333333333335
2,Gabriel Fernando de Jesus,FWD,Arsenal,12,66,False,Leicester,25,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,194198.66666666666,0.0,0.0,-138843.33333333334,174.33333333333334,139017.66666666666,0.0,2.6666666666666665,1.0,2.3333333333333335
3,Gabriel dos Santos Magalhães,DEF,Arsenal,12,63,False,Leicester,25,2024-25,0.0,0.3333333333333333,16.0,0.3333333333333333,12.300000000000002,1.0,0.0,3.8333333333333335,20.666666666666668,90.0,0.0,0,0,0.0,0.0,3175651.0,5.333333333333333,3.3333333333333335,-61381.333333333336,94686.33333333333,156067.66666666666,0.0,2.6666666666666665,1.0,2.3333333333333335
4,Kai Havertz,FWD,Arsenal,12,78,False,Leicester,25,2024-25,0.3333333333333333,1.3333333333333333,21.666666666666668,0.3333333333333333,11.166666666666666,1.0,0.6666666666666666,7.466666666666666,31.666666666666668,89.66666666666667,0.0,0,0,0.0,0.0,879249.3333333334,31.666666666666668,7.0,-30087.333333333332,29050.666666666668,59138.0,0.0,2.6666666666666665,1.0,2.3333333333333335
5,Karl Hein,GKP,Arsenal,12,40,False,Leicester,25,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2959.3333333333335,0.0,0.0,-23.333333333333332,0.0,23.333333333333332,0.0,2.6666666666666665,1.0,2.3333333333333335
6,Jurriën Timber,DEF,Arsenal,12,56,False,Leicester,25,2024-25,0.0,0.0,9.666666666666666,0.3333333333333333,3.3000000000000003,1.0,0.0,1.8333333333333333,10.0,90.0,0.0,0,0,0.0,0.0,522925.6666666667,5.0,2.3333333333333335,-37487.0,19371.666666666668,56858.666666666664,0.6666666666666666,2.6666666666666665,1.0,2.3333333333333335
7,Jorge Luiz Frello Filho,MID,Arsenal,12,47,False,Leicester,25,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,25435.0,0.0,0.0,-215.66666666666666,550.3333333333334,766.0,0.0,2.6666666666666665,1.0,2.3333333333333335
8,Jakub Kiwior,DEF,Arsenal,12,48,False,Leicester,25,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,19085.333333333332,0.0,0.0,-405.0,269.6666666666667,674.6666666666666,0.0,2.6666666666666665,1.0,2.3333333333333335
9,Gabriel Martinelli Silva,MID,Arsenal,12,66,False,Leicester,25,2024-25,0.3333333333333333,0.0,14.333333333333334,0.3333333333333333,13.433333333333332,1.0,0.3333333333333333,7.066666666666666,20.8,85.66666666666667,0.0,0,0,0.0,0.0,397670.6666666667,36.333333333333336,5.0,-39386.333333333336,19854.666666666668,59241.0,0.0,2.6666666666666665,1.0,2.3333333333333335
12,Ethan Nwaneri,MID,Arsenal,12,45,False,Leicester,25,2024-25,0.0,0.0,8.666666666666666,0.0,5.166666666666667,0.0,0.3333333333333333,2.2,13.266666666666667,17.0,0.0,0,0,0.0,0.0,54275.666666666664,3.6666666666666665,2.3333333333333335,2651.0,8718.0,6067.0,0.0,2.6666666666666665,1.0,2.3333333333333335
