id,total_points,was_home,kickoff_time,gameweek,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,position,team,opponent,season,goals scored (team),goals conceded (team),result,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
1,0,True,20,21,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-5,1138,0,5,Fábio Ferreira Vieira,MID,Arsenal,Spurs,2024-25,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1148.0,0.0,0.0,-6.0,0.0,6.0,0.0,1.6666666666666667,0.6666666666666666,2.3333333333333335
2,0,True,20,21,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-482599,556311,54388,536987,Gabriel Fernando de Jesus,FWD,Arsenal,Spurs,2024-25,2,1,3,0.3333333333333333,1.0,16.0,0.3333333333333333,17.233333333333334,0.6666666666666666,0.3333333333333333,6.766666666666666,17.733333333333334,83.66666666666667,0.0,0.0,0.0,0.0,0.0,874698.0,32.666666666666664,5.333333333333333,305986.0,369794.3333333333,63808.333333333336,0.0,1.6666666666666667,0.6666666666666666,2.3333333333333335
3,1,True,20,21,False,90,0,0,0,1,0,0,0,1,0,0,0,6,21.8,1.7,5.0,2.9,64,-11890,3235076,101268,113158,Gabriel dos Santos Magalhães,DEF,Arsenal,Spurs,2024-25,2,1,3,0.0,0.0,14.0,0.3333333333333333,12.200000000000003,0.6666666666666666,0.0,3.266666666666666,16.8,90.0,0.0,0.0,0.0,0.0,0.0,3135808.6666666665,3.6666666666666665,3.3333333333333335,164152.33333333334,211348.0,47195.666666666664,0.0,1.6666666666666667,0.6666666666666666,2.3333333333333335
4,1,True,20,21,False,90,0,0,0,1,0,0,0,1,0,0,0,-8,0.0,3.3,47.0,5.0,78,-90975,927592,23441,114416,Kai Havertz,FWD,Arsenal,Spurs,2024-25,2,1,3,0.0,0.6666666666666666,11.0,0.3333333333333333,7.0,0.0,0.3333333333333333,4.166666666666667,14.0,30.0,0.0,0.0,0.0,0.0,0.0,1092535.3333333333,20.666666666666668,2.3333333333333335,-21454.666666666668,65596.66666666667,87051.33333333333,0.3333333333333333,1.6666666666666667,0.6666666666666666,2.3333333333333335
5,0,True,20,21,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-41,3006,0,41,Karl Hein,GKP,Arsenal,Spurs,2024-25,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3110.3333333333335,0.0,0.0,-76.0,0.0,76.0,0.0,1.6666666666666667,0.6666666666666666,2.3333333333333335
6,2,True,20,21,False,90,0,0,0,1,0,0,0,0,0,0,0,10,10.2,3.7,2.0,1.6,57,-78098,587074,17317,95415,Jurriën Timber,DEF,Arsenal,Spurs,2024-25,2,1,3,0.0,1.0,14.0,0.3333333333333333,10.133333333333333,0.3333333333333333,0.0,2.8000000000000003,13.333333333333334,60.0,0.0,0.0,0.0,0.0,0.0,795472.6666666666,4.333333333333333,3.3333333333333335,-60257.666666666664,49230.0,109487.66666666667,0.3333333333333333,1.6666666666666667,0.6666666666666666,2.3333333333333335
7,0,True,20,21,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-134,25610,983,1117,Jorge Luiz Frello Filho,MID,Arsenal,Spurs,2024-25,2,1,3,0.0,0.0,6.333333333333333,0.0,4.866666666666666,0.3333333333333333,0.0,0.6666666666666666,1.6666666666666667,21.666666666666668,0.0,0.0,0.0,0.0,0.0,25663.666666666668,0.0,1.0,-405.0,718.0,1123.0,0.0,1.6666666666666667,0.6666666666666666,2.3333333333333335
8,0,True,20,21,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-934,19503,330,1264,Jakub Kiwior,DEF,Arsenal,Spurs,2024-25,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21282.666666666668,0.0,0.0,-1860.0,516.6666666666666,2376.6666666666665,0.0,1.6666666666666667,0.6666666666666666,2.3333333333333335
9,1,True,20,21,False,29,0,0,0,0,0,0,0,0,0,0,0,4,3.0,12.0,15.0,3.0,68,-78909,487392,28430,107339,Gabriel Martinelli Silva,MID,Arsenal,Spurs,2024-25,2,1,3,0.0,0.6666666666666666,14.0,0.3333333333333333,17.033333333333335,0.6666666666666666,0.3333333333333333,5.5,18.26666666666667,75.0,0.0,0.0,0.0,0.0,0.0,497721.6666666667,19.666666666666668,4.333333333333333,96240.66666666667,123406.66666666667,27166.0,0.0,1.6666666666666667,0.6666666666666666,2.3333333333333335
12,0,True,20,21,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1021,56277,16410,17431,Ethan Nwaneri,MID,Arsenal,Spurs,2024-25,2,1,3,0.0,0.3333333333333333,9.666666666666666,0.0,10.966666666666667,0.3333333333333333,0.3333333333333333,3.4,13.799999999999999,40.666666666666664,0.0,0.0,0.0,0.0,0.0,49842.333333333336,9.333333333333334,2.6666666666666665,3349.3333333333335,8089.666666666667,4740.333333333333,0.3333333333333333,1.6666666666666667,0.6666666666666666,2.3333333333333335
